Interest_Rate,Call_Price,Put_Price,Rho,Delta
0.0,9.300314211035044,8.780309938574106,0.07496357960331723,0.5331317655984495
0.4166666666666667,9.331580182186173,8.747203371405462,0.07511306636708373,0.534262369931694
0.8333333333333334,9.36290841994969,8.714181112464573,0.07526245911384329,0.5353926977916471
1.25,9.394298884865691,8.681243114744348,0.07541175647009332,0.5365227401047109
1.6666666666666667,9.425751536902169,8.64838933066818,0.07556095706387218,0.5376524878041982
2.083333333333333,9.457266335456012,8.615619712090776,0.07571005952479258,0.5387819318305515
2.5,9.488843239353159,8.582934210298845,0.07585906248407472,0.5399110631315607
2.9166666666666665,9.520482206849834,8.55033277601153,0.07600796457457942,0.5410398726625808
3.3333333333333335,9.552183195632779,8.517815359381387,0.07615676443084136,0.5421683513867495
3.75,9.583946162820268,8.485381909994928,0.07630546068910206,0.5432964902752037
4.166666666666666,9.615771064962573,8.453032376873395,0.07645405198734279,0.5444242803072963
4.583333333333333,9.647657858043004,8.42076670847338,0.0766025369653176,0.5455517124708132
5.0,9.67960649747829,8.388584852687757,0.0767509142645862,0.5466787777621885
5.416666666666667,9.71161693811969,8.356486756846337,0.07689918252854662,0.5478054671867209
5.833333333333333,9.743689134253472,8.324472367716552,0.07704734040246806,0.548931771758788
6.25,9.775823039601889,8.29254163150442,0.0771953865335235,0.5500576825020627
6.666666666666667,9.80801860732393,8.26069449385524,0.07734331957082231,0.5511831904497264
7.083333333333333,9.84027579001608,8.22893089985439,0.07749113816544279,0.5523082866446842
7.5,9.872594539713234,8.197250794028221,0.07763884097046449,0.5534329621397782
7.916666666666666,9.904974807889445,8.16565412034484,0.07778642664100084,0.5545572079980009
8.333333333333332,9.937416545458873,8.134140822215002,0.07793389383423122,0.5556810152927085
8.75,9.969919702776565,8.102710842492925,0.0780812412094332,0.5568043751078331
9.166666666666666,10.002484229639393,8.071364123477252,0.07822846742801493,0.5579272785380953
9.583333333333332,10.03511007528698,8.040100606911864,0.0783755711535469,0.5590497166892158
10.0,10.067797188402466,8.0089202339868,0.07852255105179409,0.560171680678126
